age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
30.0,Private,227551,HS-grad,,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Private,176992,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
19.0,Private,220001,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,50.0,United-States,<=50K
40.0,Private,99434,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,,United-States,<=50K
58.0,Federal-gov,319733,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,70.0,United-States,<=50K
33.0,Private,164190,Masters,,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
42.0,Self-emp-not-inc,133584,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,40.0,El-Salvador,<=50K
55.0,Private,67450,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,,England,<=50K
41.0,Private,63596,Some-college,10.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,,32.0,United-States,>50K
,Private,232591,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
54.0,Private,217718,5th-6th,3.0,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.0,0.0,30.0,Haiti,<=50K
,Private,96635,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,60.0,United-States,<=50K
56.0,Local-gov,52953,Doctorate,16.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,1669.0,38.0,United-States,<=50K
27.0,Private,127833,HS-grad,9.0,Never-married,Adm-clerical,Own-child,Black,Female,,0.0,40.0,United-States,<=50K
27.0,Private,36440,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,65.0,United-States,>50K
59.0,Private,175290,7th-8th,4.0,Never-married,Other-service,Other-relative,White,Male,0.0,,32.0,United-States,<=50K
30.0,Private,110239,10th,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
,Self-emp-not-inc,163174,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
74.0,Private,145463,1st-4th,2.0,Widowed,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,15.0,United-States,<=50K
44.0,Private,175943,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,20.0,United-States,<=50K
17.0,Private,115551,11th,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
56.0,Federal-gov,317847,Bachelors,13.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
27.0,State-gov,280618,Masters,,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Local-gov,188682,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
29.0,Private,283760,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,176452,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,Peru,<=50K
50.0,Private,213290,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,,36.0,United-States,>50K
19.0,Private,202673,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,,United-States,<=50K
36.0,Private,76417,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,52.0,United-States,<=50K
32.0,Private,42596,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
27.0,Local-gov,206125,10th,6.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
53.0,Private,167033,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Female,,0.0,40.0,United-States,<=50K
44.0,Self-emp-not-inc,230684,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,,United-States,<=50K
46.0,Private,149640,7th-8th,4.0,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
44.0,Private,147206,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,40.0,United-States,<=50K
30.0,Private,165686,Bachelors,13.0,Never-married,Other-service,Not-in-family,White,Female,,0.0,40.0,United-States,<=50K
46.0,Private,282538,Assoc-voc,11.0,Separated,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
44.0,Private,177083,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
34.0,Private,175878,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Female,,0.0,40.0,United-States,<=50K
41.0,Local-gov,153132,Assoc-acdm,12.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
23.0,State-gov,110128,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,,40.0,United-States,<=50K
53.0,Private,158352,5th-6th,3.0,Married-civ-spouse,Other-service,Other-relative,White,Female,,0.0,24.0,Italy,<=50K
28.0,Private,250135,HS-grad,,Never-married,Prof-specialty,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
22.0,State-gov,22966,Some-college,10.0,Married-spouse-absent,Tech-support,Unmarried,White,Male,0.0,0.0,,United-States,<=50K
41.0,Private,23646,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,,40.0,United-States,<=50K
34.0,Private,215047,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
,Private,311446,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,5178.0,0.0,40.0,United-States,>50K
,Private,120029,Some-college,10.0,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0.0,20.0,United-States,<=50K
40.0,Private,168071,Assoc-voc,11.0,Divorced,Tech-support,Not-in-family,White,Male,,0.0,40.0,United-States,<=50K
55.0,Private,92215,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K
22.0,Private,211678,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,,United-States,<=50K
24.0,Private,611029,10th,6.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,,40.0,United-States,<=50K
28.0,Private,189346,HS-grad,,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
37.0,Private,254973,HS-grad,,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
22.0,Private,227994,Some-college,,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,39.0,United-States,<=50K
20.0,Private,170091,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
29.0,Private,163003,Bachelors,,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,2202.0,0.0,40.0,Taiwan,<=50K
28.0,Private,144521,HS-grad,9.0,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
19.0,Private,181572,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
52.0,Private,155434,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,,United-States,<=50K
32.0,Private,321313,Masters,14.0,Never-married,Sales,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
38.0,Private,103474,Assoc-voc,11.0,Divorced,Adm-clerical,Unmarried,White,Female,,0.0,40.0,United-States,<=50K
43.0,Private,240698,Bachelors,,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
40.0,Self-emp-not-inc,192507,Assoc-acdm,12.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
22.0,Private,344176,HS-grad,9.0,Never-married,Sales,Unmarried,White,Male,0.0,0.0,20.0,United-States,<=50K
19.0,Private,130431,5th-6th,,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,36.0,Mexico,<=50K
20.0,Private,194630,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,300829,Assoc-acdm,12.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,42.0,United-States,<=50K
22.0,Private,156822,10th,6.0,Never-married,Sales,Not-in-family,White,Female,0.0,1762.0,25.0,United-States,<=50K
27.0,Federal-gov,47907,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
40.0,Private,353142,Some-college,10.0,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
26.0,Private,109097,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,48.0,United-States,<=50K
22.0,Private,446140,HS-grad,,Never-married,Sales,Own-child,White,Male,0.0,0.0,55.0,United-States,<=50K
38.0,Private,49020,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Self-emp-inc,98756,Some-college,10.0,Divorced,Adm-clerical,Own-child,White,Female,0.0,0.0,50.0,United-States,<=50K
36.0,Private,105138,HS-grad,,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
34.0,Self-emp-inc,114733,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,36.0,United-States,<=50K
39.0,Private,80680,Some-college,10.0,Divorced,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
19.0,Private,372483,Some-college,10.0,Never-married,Other-service,Other-relative,Black,Male,0.0,0.0,,United-States,<=50K
25.0,Private,130513,Assoc-acdm,12.0,Never-married,Sales,Own-child,White,Female,,0.0,40.0,Peru,<=50K
35.0,Private,334291,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
49.0,State-gov,131302,Assoc-voc,,Divorced,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,44.0,United-States,<=50K
35.0,Local-gov,331395,Assoc-voc,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,42.0,United-States,<=50K
67.0,Private,166187,HS-grad,9.0,Widowed,Exec-managerial,Unmarried,White,Male,0.0,0.0,,United-States,>50K
44.0,Private,225879,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,Other,Female,,0.0,30.0,Mexico,>50K
29.0,State-gov,159782,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,45.0,United-States,>50K
27.0,Private,297457,HS-grad,9.0,Never-married,Adm-clerical,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,498216,Bachelors,13.0,Divorced,Exec-managerial,Unmarried,White,Female,,0.0,40.0,United-States,<=50K
46.0,State-gov,312015,HS-grad,9.0,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,,United-States,<=50K
19.0,Private,229745,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
24.0,Private,122166,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,Iran,<=50K
38.0,Private,292307,Bachelors,13.0,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,,0.0,40.0,Dominican-Republic,<=50K
28.0,Private,189257,9th,5.0,Never-married,Handlers-cleaners,Own-child,Black,Female,0.0,0.0,24.0,United-States,<=50K
25.0,Local-gov,163101,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,,0.0,45.0,United-States,<=50K
